student_id,report_date,behavior_type,behavior,description,reported_by,severity
70,2025-11-24,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
217,2025-11-05,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
415,2025-09-26,Positive,Helpful to Peers,Assists other students,HOD,Positive
415,2025-10-29,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
415,2025-10-14,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
740,2025-10-25,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
740,2025-09-05,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,High
740,2025-09-26,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,High
133,2025-11-16,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
133,2025-10-04,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Low
133,2025-11-06,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
26,2025-11-04,Positive,Punctual,Always on time for classes,HOD,Positive
26,2025-09-26,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
892,2025-09-15,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
212,2025-10-11,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
212,2025-10-30,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
212,2025-11-09,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
8,2025-11-30,Negative,Late to Class,Frequently arrives late,Prof. Sharma,High
8,2025-10-18,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
8,2025-10-14,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
372,2025-10-30,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Medium
372,2025-10-08,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
372,2025-11-20,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,High
427,2025-11-05,Positive,Good Team Player,Works well in groups,HOD,Positive
427,2025-11-12,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Low
418,2025-10-22,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,High
418,2025-09-17,Negative,Irregular Attendance,Missing classes without notice,HOD,High
418,2025-09-08,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
998,2025-09-30,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
998,2025-11-09,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
563,2025-11-18,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
617,2025-10-27,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
617,2025-11-10,Negative,Late to Class,Frequently arrives late,Prof. Sharma,High
617,2025-11-23,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
812,2025-09-05,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
812,2025-10-21,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
326,2025-11-16,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
326,2025-09-16,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Low
326,2025-09-14,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
385,2025-11-26,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
385,2025-11-10,Negative,Irregular Attendance,Missing classes without notice,HOD,Low
731,2025-09-08,Negative,Distracted in Class,Not paying attention,HOD,Low
458,2025-11-10,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
41,2025-10-12,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
41,2025-10-02,Negative,Irregular Attendance,Missing classes without notice,HOD,Low
41,2025-09-25,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
356,2025-11-22,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
356,2025-10-13,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
492,2025-11-08,Negative,Distracted in Class,Not paying attention,HOD,High
399,2025-09-27,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
532,2025-11-28,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
532,2025-09-02,Negative,Irregular Attendance,Missing classes without notice,HOD,High
532,2025-09-27,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
736,2025-09-06,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
736,2025-09-25,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
570,2025-11-01,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
773,2025-09-03,Positive,Good Team Player,Works well in groups,HOD,Positive
773,2025-11-03,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
255,2025-09-17,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
255,2025-10-13,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
255,2025-09-06,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
543,2025-09-02,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
995,2025-09-05,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
995,2025-10-19,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
824,2025-09-22,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
421,2025-11-09,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
715,2025-09-26,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
715,2025-11-15,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
999,2025-10-17,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Medium
999,2025-09-07,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
73,2025-11-17,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
73,2025-10-12,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
73,2025-11-14,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
834,2025-11-23,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
834,2025-11-20,Positive,Punctual,Always on time for classes,HOD,Positive
834,2025-10-15,Negative,Irregular Attendance,Missing classes without notice,HOD,Low
165,2025-11-19,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Low
165,2025-11-27,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
474,2025-09-02,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
474,2025-09-29,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
474,2025-11-12,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
200,2025-10-12,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
200,2025-10-08,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
361,2025-11-05,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
564,2025-10-16,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
564,2025-10-02,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
564,2025-11-19,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
420,2025-11-11,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
420,2025-09-20,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Low
420,2025-09-08,Positive,Helpful to Peers,Assists other students,HOD,Positive
868,2025-11-12,Positive,Good Team Player,Works well in groups,HOD,Positive
774,2025-10-04,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
774,2025-10-23,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Medium
774,2025-10-27,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
526,2025-09-12,Negative,Distracted in Class,Not paying attention,Prof. Mehta,High
370,2025-09-14,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
370,2025-10-13,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
370,2025-09-12,Negative,Irregular Attendance,Missing classes without notice,HOD,Low
931,2025-11-17,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
931,2025-11-10,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
931,2025-10-11,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Low
851,2025-10-17,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
285,2025-11-21,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
285,2025-11-10,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
725,2025-09-17,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Medium
725,2025-09-25,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
914,2025-11-21,Negative,Late to Class,Frequently arrives late,HOD,High
914,2025-11-16,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
194,2025-11-13,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
120,2025-09-04,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
120,2025-10-15,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
120,2025-11-18,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
552,2025-11-24,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Low
323,2025-10-24,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,High
323,2025-10-26,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
578,2025-11-27,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
578,2025-09-08,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
180,2025-10-14,Negative,Distracted in Class,Not paying attention,Prof. Reddy,High
671,2025-09-05,Positive,Punctual,Always on time for classes,HOD,Positive
671,2025-11-29,Positive,Good Team Player,Works well in groups,HOD,Positive
671,2025-10-09,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
778,2025-10-09,Positive,Good Team Player,Works well in groups,HOD,Positive
778,2025-09-07,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
192,2025-10-18,Positive,Good Team Player,Works well in groups,HOD,Positive
192,2025-11-20,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
400,2025-11-16,Positive,Punctual,Always on time for classes,HOD,Positive
638,2025-10-27,Negative,Irregular Attendance,Missing classes without notice,HOD,Low
638,2025-10-16,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
638,2025-11-20,Negative,Distracted in Class,Not paying attention,Prof. Mehta,High
245,2025-10-21,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
245,2025-10-20,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Low
537,2025-09-26,Positive,Punctual,Always on time for classes,HOD,Positive
717,2025-10-25,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
717,2025-11-20,Positive,Punctual,Always on time for classes,HOD,Positive
655,2025-09-27,Positive,Punctual,Always on time for classes,HOD,Positive
655,2025-09-29,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
655,2025-09-10,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
368,2025-09-21,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
368,2025-10-11,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
712,2025-10-15,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
111,2025-10-06,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
111,2025-09-13,Negative,Late to Class,Frequently arrives late,HOD,Medium
393,2025-09-27,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
393,2025-11-11,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
107,2025-11-26,Positive,Punctual,Always on time for classes,HOD,Positive
107,2025-11-04,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
107,2025-10-31,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
517,2025-11-18,Negative,Distracted in Class,Not paying attention,Prof. Sharma,High
660,2025-10-01,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
660,2025-09-02,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
660,2025-09-23,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Low
940,2025-11-28,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
267,2025-09-27,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
267,2025-10-07,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
483,2025-09-14,Negative,Late to Class,Frequently arrives late,Prof. Sharma,High
483,2025-10-18,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Low
483,2025-09-28,Negative,Irregular Attendance,Missing classes without notice,HOD,Medium
117,2025-10-10,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Medium
117,2025-09-07,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
789,2025-10-21,Positive,Good Team Player,Works well in groups,HOD,Positive
789,2025-11-03,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Low
789,2025-09-09,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
193,2025-10-14,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
876,2025-10-19,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
29,2025-09-27,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
145,2025-09-05,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
145,2025-10-21,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
145,2025-09-14,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
958,2025-11-26,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
748,2025-10-03,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
101,2025-11-01,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
955,2025-11-07,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Medium
955,2025-10-31,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
154,2025-09-14,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
154,2025-11-20,Negative,Distracted in Class,Not paying attention,Prof. Mehta,High
154,2025-09-05,Negative,Late to Class,Frequently arrives late,HOD,Medium
936,2025-09-15,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Medium
936,2025-11-04,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
115,2025-09-28,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
115,2025-10-22,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
115,2025-11-16,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
580,2025-10-27,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
580,2025-11-22,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
580,2025-09-30,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
733,2025-11-14,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
733,2025-11-07,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
733,2025-11-14,Negative,Distracted in Class,Not paying attention,Prof. Reddy,High
262,2025-11-16,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
262,2025-11-08,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
719,2025-09-18,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
719,2025-09-07,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
984,2025-10-03,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
50,2025-10-21,Positive,Punctual,Always on time for classes,HOD,Positive
378,2025-10-15,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
378,2025-11-04,Positive,Punctual,Always on time for classes,HOD,Positive
236,2025-11-07,Positive,Helpful to Peers,Assists other students,HOD,Positive
236,2025-10-16,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
236,2025-11-12,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
860,2025-09-25,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
860,2025-10-23,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
860,2025-11-30,Negative,Irregular Attendance,Missing classes without notice,HOD,Low
545,2025-09-18,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
545,2025-10-05,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
990,2025-09-26,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
412,2025-10-23,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
19,2025-11-24,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
19,2025-09-23,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,High
189,2025-11-08,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
428,2025-10-23,Positive,Helpful to Peers,Assists other students,HOD,Positive
794,2025-10-15,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Low
885,2025-10-12,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Low
885,2025-11-13,Positive,Helpful to Peers,Assists other students,HOD,Positive
514,2025-10-04,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Low
514,2025-10-25,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
514,2025-11-28,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
219,2025-10-18,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Low
970,2025-09-26,Negative,Distracted in Class,Not paying attention,HOD,Medium
89,2025-11-17,Negative,Late to Class,Frequently arrives late,HOD,Medium
89,2025-09-08,Negative,Distracted in Class,Not paying attention,HOD,Medium
459,2025-11-11,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
459,2025-09-24,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
703,2025-10-25,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Medium
309,2025-10-28,Negative,Distracted in Class,Not paying attention,HOD,Low
800,2025-10-12,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Medium
800,2025-10-29,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
800,2025-10-07,Negative,Late to Class,Frequently arrives late,HOD,Medium
893,2025-11-05,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
893,2025-09-10,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
893,2025-10-18,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
848,2025-09-05,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
793,2025-09-26,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
928,2025-11-16,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
928,2025-09-13,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
928,2025-11-09,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
