student_id,activity_name,activity_category,registration_date,role,activity_level,hours_per_week,total_events_participated,achievement,status,faculty_coordinator
253,Table Tennis Club,Sports,2025-08-12,Member,High,7,10,,Active,Prof. Reddy
253,Cybersecurity Club,Technical,2025-08-14,Member,Medium,4,5,Best Performer Award,Active,Prof. Gupta
254,Paper Presentation Team,Academic,2025-08-07,Member,Medium,6,4,,Active,Prof. Gupta
255,Athletics Team,Sports,2025-08-03,Member,Medium,3,3,,Inactive,Prof. Sharma
255,College Magazine,Other,2025-08-22,Active Member,Medium,5,3,,Active,Prof. Reddy
256,Paper Presentation Team,Academic,2025-08-31,Member,Low,2,1,,Active,Prof. Reddy
256,Fitness Club,Other,2025-08-03,Member,Low,1,2,,Active,Prof. Mehta
257,Basketball Team,Sports,2025-08-26,Active Member,High,10,8,Winner - Inter College Competition,Inactive,Prof. Mehta
257,Blood Donation Team,Social,2025-08-25,Member,Medium,3,3,,Active,Prof. Gupta
258,Volleyball Team,Sports,2025-08-22,President/Head,Very High,13,12,Certificate of Excellence,Inactive,Prof. Reddy
258,Innovation Club,Academic,2025-08-09,Member,Low,3,1,Winner - Intra College Competition,Active,Prof. Sharma
260,Student Council,Other,2025-08-04,Member,Low,3,2,,Active,Prof. Reddy
261,Quiz Club,Academic,2025-08-17,Active Member,High,7,6,,Active,Prof. Sharma
261,Athletics Team,Sports,2025-08-02,Member,High,10,8,,Active,Prof. Sharma
261,Hackathon Team,Technical,2025-08-08,Member,Low,1,0,,Active,Prof. Sharma
262,Student Council,Other,2025-08-20,Active Member,High,9,10,Winner - Intra College Competition,Active,Prof. Reddy
263,Photography Club,Cultural,2025-08-24,Member,Low,2,2,Winner - Inter College Competition,Active,Prof. Mehta
263,Event Management Team,Other,2025-08-20,President/Head,Very High,12,18,,Active,Prof. Mehta
265,Coding Club,Technical,2025-08-11,Active Member,High,8,6,,Active,Prof. Gupta
265,Research Club,Academic,2025-08-23,Member,High,8,7,,Active,Prof. Reddy
265,Drama Club,Cultural,2025-08-09,Member,Medium,4,3,,Active,Prof. Mehta
265,NSS (National Service Scheme),Social,2025-08-23,Core Team,High,8,10,,Active,Prof. Mehta
266,Drama Club,Cultural,2025-08-13,Member,High,10,9,,Active,Prof. Gupta
267,Quiz Club,Academic,2025-08-15,Member,High,6,9,Participation Certificate,Active,Prof. Reddy
268,College Magazine,Other,2025-08-08,Member,High,9,5,,Active,Prof. Reddy
268,Music Club,Cultural,2025-08-26,Member,Low,3,2,,Active,Prof. Mehta
268,Rotaract Club,Social,2025-08-12,Member,Low,2,1,,Active,Prof. Sharma
269,College Magazine,Other,2025-08-19,Active Member,Medium,6,4,,Active,Prof. Sharma
269,Fine Arts Club,Cultural,2025-08-22,Active Member,Medium,3,5,,Active,Prof. Mehta
271,Table Tennis Club,Sports,2025-08-24,Member,Low,3,2,,Active,Prof. Mehta
271,NSS (National Service Scheme),Social,2025-08-08,Member,Medium,4,2,Winner - Intra College Competition,Active,Prof. Gupta
271,Hackathon Team,Technical,2025-08-22,President/Head,Very High,13,19,,Active,Prof. Reddy
273,Football Team,Sports,2025-08-27,Core Team,Very High,15,12,,Active,Prof. Reddy
275,Kabaddi Team,Sports,2025-08-14,Active Member,High,8,5,,Active,Prof. Reddy
276,Research Club,Academic,2025-08-08,Member,Low,3,0,,Active,Prof. Reddy
276,Blood Donation Team,Social,2025-08-20,Member,High,7,10,,Active,Prof. Reddy
276,Event Management Team,Other,2025-08-13,Member,Low,1,0,,Active,Prof. Reddy
277,Mathematics Club,Academic,2025-08-05,Member,Medium,5,5,,Active,Prof. Gupta
277,Yoga Club,Other,2025-08-22,Active Member,Medium,6,5,Participation Certificate,Active,Prof. Gupta
277,Basketball Team,Sports,2025-08-20,Member,Low,3,0,,Active,Prof. Mehta
278,Event Management Team,Other,2025-08-29,Active Member,Medium,3,3,,Inactive,Prof. Mehta
278,Science Club,Academic,2025-08-13,Coordinator,Very High,12,17,,Active,Prof. Sharma
279,Robotics Club,Technical,2025-08-30,Core Team,Very High,10,18,,Active,Prof. Reddy
279,Innovation Club,Academic,2025-08-04,Member,High,7,9,,Active,Prof. Mehta
279,College Magazine,Other,2025-08-18,Member,High,9,10,Best Performer Award,Inactive,Prof. Gupta
280,Robotics Club,Technical,2025-08-05,Member,Low,3,1,,Active,Prof. Sharma
280,College Magazine,Other,2025-08-30,Member,Low,1,0,Winner - Inter College Competition,Active,Prof. Sharma
281,Hockey Team,Sports,2025-08-27,Member,Low,2,1,Best Performer Award,Active,Prof. Mehta
282,Coding Club,Technical,2025-08-28,Member,Low,3,0,,Active,Prof. Sharma
285,Event Management Team,Other,2025-08-30,Core Team,Very High,10,16,,Active,Prof. Sharma
285,Film Making Club,Cultural,2025-08-27,Coordinator,Very High,12,14,,Inactive,Prof. Reddy
287,Innovation Club,Academic,2025-08-30,Member,Medium,4,5,Participation Certificate,Active,Prof. Mehta
287,Student Council,Other,2025-08-30,Member,Low,1,0,,Active,Prof. Mehta
289,Kabaddi Team,Sports,2025-08-15,Member,High,7,9,,Active,Prof. Sharma
289,Fine Arts Club,Cultural,2025-08-24,Active Member,High,8,10,,Inactive,Prof. Sharma
289,Coding Club,Technical,2025-08-07,Active Member,Medium,4,2,,Active,Prof. Gupta
290,Yoga Club,Other,2025-08-17,Active Member,High,7,9,,Inactive,Prof. Sharma
291,Cybersecurity Club,Technical,2025-08-15,Active Member,High,8,6,,Active,Prof. Sharma
291,Football Team,Sports,2025-08-08,Member,High,8,7,,Active,Prof. Reddy
292,Table Tennis Club,Sports,2025-08-21,Member,Medium,5,3,Best Performer Award,Active,Prof. Gupta
294,Cricket Team,Sports,2025-08-07,Core Team,High,10,8,Participation Certificate,Active,Prof. Gupta
294,Entrepreneurship Cell,Academic,2025-08-19,Member,Medium,3,4,Best Performer Award,Active,Prof. Reddy
295,Photography Club,Cultural,2025-08-02,Member,High,6,6,,Active,Prof. Mehta
296,Coding Club,Technical,2025-08-06,Active Member,High,10,8,Best Performer Award,Active,Prof. Mehta
296,Photography Club,Cultural,2025-08-14,Member,Medium,5,3,,Active,Prof. Mehta
296,Alumni Relations,Other,2025-08-19,Member,Low,2,2,,Active,Prof. Reddy
298,Music Club,Cultural,2025-08-10,Member,Medium,4,5,,Active,Prof. Sharma
298,Innovation Club,Academic,2025-08-22,Member,Medium,5,2,,Active,Prof. Mehta
299,IoT Club,Technical,2025-08-10,Core Team,Very High,12,18,Participation Certificate,Inactive,Prof. Reddy
299,Kabaddi Team,Sports,2025-08-28,Active Member,High,7,8,,Active,Prof. Sharma
300,Rotaract Club,Social,2025-08-05,Member,High,6,6,Participation Certificate,Active,Prof. Gupta
301,Alumni Relations,Other,2025-08-23,Active Member,High,6,5,,Inactive,Prof. Sharma
302,Hockey Team,Sports,2025-08-28,Core Team,High,10,9,,Active,Prof. Sharma
302,Science Club,Academic,2025-08-15,Core Team,Very High,12,13,,Inactive,Prof. Reddy
302,Cybersecurity Club,Technical,2025-08-09,Active Member,Medium,6,5,,Active,Prof. Mehta
302,Event Management Team,Other,2025-08-06,Member,High,10,6,Winner - Inter College Competition,Active,Prof. Sharma
306,Mathematics Club,Academic,2025-08-24,Active Member,Medium,3,5,,Active,Prof. Gupta
307,Hackathon Team,Technical,2025-08-14,Member,Medium,3,3,Participation Certificate,Inactive,Prof. Sharma
307,Environmental Club,Social,2025-08-05,Core Team,High,10,10,,Inactive,Prof. Gupta
309,Student Council,Other,2025-08-03,Active Member,Medium,4,5,,Active,Prof. Mehta
309,Football Team,Sports,2025-08-14,Member,Medium,4,5,,Active,Prof. Gupta
309,AI/ML Club,Technical,2025-08-28,Member,Low,1,2,Participation Certificate,Active,Prof. Gupta
309,Music Club,Cultural,2025-08-06,Member,Medium,6,4,,Active,Prof. Gupta
313,Dance Club,Cultural,2025-08-22,Member,Medium,3,3,,Active,Prof. Mehta
313,Rotaract Club,Social,2025-08-13,Member,Low,2,1,,Active,Prof. Gupta
313,Innovation Club,Academic,2025-08-22,Member,Low,2,2,,Active,Prof. Mehta
314,Volleyball Team,Sports,2025-08-10,Member,Medium,4,4,Certificate of Excellence,Active,Prof. Gupta
314,Film Making Club,Cultural,2025-08-19,Member,Medium,6,2,,Active,Prof. Mehta
314,IoT Club,Technical,2025-08-22,Active Member,Medium,6,5,,Active,Prof. Sharma
319,Coding Club,Technical,2025-08-28,Active Member,High,10,7,,Active,Prof. Gupta
319,Debating Society,Cultural,2025-08-12,Member,Low,2,1,Participation Certificate,Active,Prof. Gupta
319,Yoga Club,Other,2025-08-15,Core Team,High,6,7,Participation Certificate,Active,Prof. Reddy
320,Kabaddi Team,Sports,2025-08-06,Active Member,Medium,4,2,,Active,Prof. Sharma
320,Coding Club,Technical,2025-08-21,Member,Medium,6,4,,Active,Prof. Gupta
320,NSS (National Service Scheme),Social,2025-08-21,Member,Medium,6,3,,Active,Prof. Reddy
321,Entrepreneurship Cell,Academic,2025-08-15,Core Team,High,7,5,Participation Certificate,Active,Prof. Reddy
321,Environmental Club,Social,2025-08-29,Member,Low,2,2,,Inactive,Prof. Mehta
321,Fitness Club,Other,2025-08-23,Member,Medium,6,4,,Active,Prof. Reddy
323,College Magazine,Other,2025-08-29,Member,Low,2,1,Best Performer Award,Inactive,Prof. Mehta
323,IoT Club,Technical,2025-08-17,Member,Medium,4,2,Best Performer Award,Active,Prof. Sharma
324,Data Science Club,Technical,2025-08-17,Core Team,Very High,10,13,,Active,Prof. Sharma
324,Placement Cell,Other,2025-08-31,President/Head,Very High,15,12,,Active,Prof. Mehta
326,College Magazine,Other,2025-08-30,Core Team,High,7,5,,Inactive,Prof. Sharma
326,Cricket Team,Sports,2025-08-19,Active Member,High,10,8,,Active,Prof. Sharma
327,Hockey Team,Sports,2025-08-03,Member,High,6,5,,Active,Prof. Gupta
331,Chess Club,Sports,2025-08-06,Active Member,Medium,5,3,,Active,Prof. Sharma
331,Event Management Team,Other,2025-08-18,Member,High,6,10,,Inactive,Prof. Sharma
331,Science Club,Academic,2025-08-05,Member,High,6,9,,Inactive,Prof. Mehta
333,Literary Club,Cultural,2025-08-24,Coordinator,Very High,13,19,Winner - Intra College Competition,Inactive,Prof. Mehta
334,NCC (National Cadet Corps),Social,2025-08-27,Member,Medium,3,5,,Active,Prof. Reddy
335,Student Council,Other,2025-08-31,Member,Medium,3,2,,Active,Prof. Gupta
336,Basketball Team,Sports,2025-08-02,Core Team,High,7,5,,Active,Prof. Gupta
336,Photography Club,Cultural,2025-08-19,Member,Medium,6,5,Best Performer Award,Active,Prof. Sharma
336,Placement Cell,Other,2025-08-07,Member,Low,1,1,,Active,Prof. Sharma
337,Paper Presentation Team,Academic,2025-08-18,Member,Medium,3,3,,Active,Prof. Sharma
337,Robotics Club,Technical,2025-08-24,Active Member,High,10,6,,Active,Prof. Sharma
337,Event Management Team,Other,2025-08-21,Member,Low,1,1,,Active,Prof. Sharma
337,NCC (National Cadet Corps),Social,2025-08-12,Active Member,High,6,7,,Active,Prof. Sharma
338,Entrepreneurship Cell,Academic,2025-08-31,Active Member,High,9,6,,Active,Prof. Sharma
338,NCC (National Cadet Corps),Social,2025-08-20,Member,High,6,6,Winner - Intra College Competition,Active,Prof. Reddy
339,Red Cross,Social,2025-08-29,Member,Medium,4,3,,Active,Prof. Mehta
339,Dance Club,Cultural,2025-08-27,Active Member,High,6,9,,Active,Prof. Gupta
340,Quiz Club,Academic,2025-08-31,Active Member,High,6,5,,Active,Prof. Mehta
340,Film Making Club,Cultural,2025-08-19,Member,High,9,7,,Active,Prof. Reddy
340,Coding Club,Technical,2025-08-05,Member,Low,2,2,,Active,Prof. Reddy
340,NCC (National Cadet Corps),Social,2025-08-22,Member,Low,2,0,,Active,Prof. Reddy
344,Science Club,Academic,2025-08-31,Core Team,High,8,6,,Active,Prof. Gupta
346,Dance Club,Cultural,2025-08-15,Core Team,High,6,8,,Active,Prof. Gupta
346,Alumni Relations,Other,2025-08-23,Active Member,Medium,6,3,,Active,Prof. Sharma
347,Environmental Club,Social,2025-08-05,Active Member,High,8,8,,Inactive,Prof. Gupta
347,Student Council,Other,2025-08-13,Core Team,High,8,6,,Active,Prof. Sharma
350,Football Team,Sports,2025-08-03,Member,High,10,5,,Inactive,Prof. Reddy
350,Photography Club,Cultural,2025-08-20,Active Member,High,10,9,,Active,Prof. Mehta
350,Science Club,Academic,2025-08-20,Active Member,High,10,9,Best Performer Award,Active,Prof. Reddy
351,Coding Club,Technical,2025-08-24,Core Team,High,9,7,Participation Certificate,Active,Prof. Sharma
353,Entrepreneurship Cell,Academic,2025-08-05,Member,High,9,5,,Active,Prof. Gupta
354,Student Council,Other,2025-08-18,Active Member,Medium,5,4,,Active,Prof. Sharma
354,NSS (National Service Scheme),Social,2025-08-29,Active Member,Medium,6,5,,Active,Prof. Reddy
354,Research Club,Academic,2025-08-30,Member,Low,3,1,Best Performer Award,Active,Prof. Gupta
356,Kabaddi Team,Sports,2025-08-09,Core Team,Very High,11,10,,Active,Prof. Sharma
357,Web Development Club,Technical,2025-08-23,Active Member,High,6,10,,Active,Prof. Reddy
357,Fine Arts Club,Cultural,2025-08-07,Member,High,8,10,Winner - Inter College Competition,Active,Prof. Reddy
357,Mathematics Club,Academic,2025-08-13,Member,High,8,5,,Active,Prof. Mehta
358,Athletics Team,Sports,2025-08-23,Core Team,High,10,5,Best Performer Award,Active,Prof. Reddy
361,Dance Club,Cultural,2025-08-12,Member,Low,2,0,,Inactive,Prof. Gupta
361,Volleyball Team,Sports,2025-08-29,Active Member,Medium,4,2,,Active,Prof. Mehta
361,Fitness Club,Other,2025-08-12,Coordinator,Very High,12,12,Participation Certificate,Active,Prof. Mehta
363,Literary Club,Cultural,2025-08-08,Active Member,Medium,6,4,Certificate of Excellence,Active,Prof. Sharma
363,Quiz Club,Academic,2025-08-19,Active Member,Medium,5,2,Winner - Intra College Competition,Inactive,Prof. Sharma
364,NSS (National Service Scheme),Social,2025-08-27,Member,Low,2,1,Participation Certificate,Inactive,Prof. Sharma
365,Hackathon Team,Technical,2025-08-30,Member,Medium,3,2,,Active,Prof. Gupta
367,Quiz Club,Academic,2025-08-07,Active Member,High,10,9,,Active,Prof. Reddy
369,Entrepreneurship Cell,Academic,2025-08-28,Active Member,High,7,7,,Inactive,Prof. Mehta
369,Basketball Team,Sports,2025-08-26,President/Head,Very High,11,12,,Active,Prof. Reddy
369,Red Cross,Social,2025-08-16,Member,Low,1,1,,Active,Prof. Mehta
372,Data Science Club,Technical,2025-08-22,Member,Medium,3,4,Best Performer Award,Inactive,Prof. Reddy
372,Mathematics Club,Academic,2025-08-22,Member,High,9,5,,Inactive,Prof. Reddy
372,Athletics Team,Sports,2025-08-19,Core Team,High,10,7,,Inactive,Prof. Reddy
373,Web Development Club,Technical,2025-08-10,Member,High,9,9,,Active,Prof. Gupta
375,Blood Donation Team,Social,2025-08-28,Active Member,High,9,10,,Active,Prof. Reddy
377,IoT Club,Technical,2025-08-10,Member,Medium,4,3,,Active,Prof. Mehta
377,Debating Society,Cultural,2025-08-30,Coordinator,Very High,13,11,,Active,Prof. Mehta
377,NSS (National Service Scheme),Social,2025-08-07,Member,Medium,6,4,,Active,Prof. Gupta
378,Chess Club,Sports,2025-08-28,Member,Low,2,1,,Inactive,Prof. Sharma
378,NCC (National Cadet Corps),Social,2025-08-29,Member,Medium,5,5,,Inactive,Prof. Mehta
381,Drama Club,Cultural,2025-08-13,Member,Medium,5,3,Best Performer Award,Active,Prof. Mehta
381,Chess Club,Sports,2025-08-11,Core Team,Very High,12,19,,Active,Prof. Gupta
381,NCC (National Cadet Corps),Social,2025-08-20,Core Team,Very High,11,12,,Active,Prof. Reddy
382,Literary Club,Cultural,2025-08-03,President/Head,Very High,13,20,,Active,Prof. Sharma
382,Quiz Club,Academic,2025-08-16,Coordinator,Very High,14,10,,Inactive,Prof. Reddy
382,Table Tennis Club,Sports,2025-08-29,Member,Low,2,0,,Inactive,Prof. Sharma
382,Placement Cell,Other,2025-08-05,Member,High,7,6,,Inactive,Prof. Sharma
383,Entrepreneurship Cell,Academic,2025-08-12,Member,High,6,9,,Active,Prof. Mehta
383,Kabaddi Team,Sports,2025-08-05,Active Member,High,10,8,Winner - Intra College Competition,Active,Prof. Gupta
383,Debating Society,Cultural,2025-08-25,Member,Low,3,0,,Active,Prof. Reddy
384,Hockey Team,Sports,2025-08-17,Member,Medium,6,4,,Active,Prof. Mehta
384,Debating Society,Cultural,2025-08-27,Member,Low,2,1,,Active,Prof. Mehta
385,Fitness Club,Other,2025-08-25,Member,Low,2,2,Participation Certificate,Active,Prof. Sharma
385,Debating Society,Cultural,2025-08-30,Member,Low,3,2,,Active,Prof. Gupta
385,NSS (National Service Scheme),Social,2025-08-09,Member,Low,3,2,,Active,Prof. Reddy
387,Rotaract Club,Social,2025-08-18,Member,High,9,7,,Active,Prof. Reddy
387,Badminton Club,Sports,2025-08-15,Active Member,Medium,4,2,,Active,Prof. Sharma
387,Mathematics Club,Academic,2025-08-04,Active Member,High,7,6,,Active,Prof. Gupta
389,Red Cross,Social,2025-08-18,Active Member,Medium,6,2,,Active,Prof. Sharma
389,Chess Club,Sports,2025-08-11,Active Member,Medium,6,4,Best Performer Award,Active,Prof. Reddy
391,Drama Club,Cultural,2025-08-28,Member,Low,1,0,,Active,Prof. Sharma
393,Photography Club,Cultural,2025-08-21,Member,Low,1,1,,Active,Prof. Gupta
393,Event Management Team,Other,2025-08-23,Member,High,9,5,Certificate of Excellence,Active,Prof. Mehta
394,Drama Club,Cultural,2025-08-23,Member,Medium,6,2,,Active,Prof. Reddy
394,Kabaddi Team,Sports,2025-08-08,President/Head,Very High,11,17,Best Performer Award,Active,Prof. Sharma
395,College Magazine,Other,2025-08-20,Active Member,High,6,9,,Active,Prof. Reddy
397,Fine Arts Club,Cultural,2025-08-03,Core Team,Very High,12,13,Winner - Intra College Competition,Active,Prof. Sharma
398,Data Science Club,Technical,2025-08-18,Member,Medium,5,2,Certificate of Excellence,Inactive,Prof. Mehta
399,Hockey Team,Sports,2025-08-19,Member,Medium,6,4,,Active,Prof. Sharma
399,Quiz Club,Academic,2025-08-16,Member,Medium,3,4,,Active,Prof. Mehta
400,Music Club,Cultural,2025-08-05,Member,Low,3,1,,Inactive,Prof. Reddy
402,Kabaddi Team,Sports,2025-08-30,Member,Medium,3,3,,Active,Prof. Reddy
402,Film Making Club,Cultural,2025-08-03,Member,Medium,4,4,,Active,Prof. Reddy
403,Volleyball Team,Sports,2025-08-09,Member,Medium,5,4,Certificate of Excellence,Active,Prof. Mehta
403,College Magazine,Other,2025-08-04,Member,Medium,4,5,,Active,Prof. Sharma
403,Quiz Club,Academic,2025-08-17,Member,High,7,9,,Active,Prof. Sharma
403,Music Club,Cultural,2025-08-17,Member,Low,2,0,,Active,Prof. Sharma
404,Entrepreneurship Cell,Academic,2025-08-09,President/Head,Very High,11,10,,Active,Prof. Reddy
406,Volleyball Team,Sports,2025-08-29,Active Member,Medium,5,3,Participation Certificate,Active,Prof. Reddy
406,Paper Presentation Team,Academic,2025-08-21,Member,Low,1,1,Winner - Intra College Competition,Active,Prof. Gupta
406,Yoga Club,Other,2025-08-27,Member,Medium,4,3,,Active,Prof. Reddy
408,Table Tennis Club,Sports,2025-08-30,Member,High,8,5,,Inactive,Prof. Gupta
408,Research Club,Academic,2025-08-03,Active Member,Medium,6,5,,Active,Prof. Mehta
408,Drama Club,Cultural,2025-08-28,Member,Medium,5,5,,Active,Prof. Mehta
411,Athletics Team,Sports,2025-08-27,Active Member,Medium,3,3,,Active,Prof. Mehta
413,Entrepreneurship Cell,Academic,2025-08-20,Member,Medium,4,5,Participation Certificate,Active,Prof. Mehta
416,Chess Club,Sports,2025-08-10,Member,Medium,3,2,,Active,Prof. Sharma
417,NSS (National Service Scheme),Social,2025-08-02,Active Member,High,10,9,,Active,Prof. Reddy
417,Fitness Club,Other,2025-08-18,Member,High,6,10,,Active,Prof. Sharma
419,Placement Cell,Other,2025-08-16,Coordinator,Very High,11,17,,Active,Prof. Sharma
419,Kabaddi Team,Sports,2025-08-25,Member,High,9,8,,Active,Prof. Gupta
419,NSS (National Service Scheme),Social,2025-08-06,Member,High,9,5,,Inactive,Prof. Reddy
419,Science Club,Academic,2025-08-14,Member,Medium,3,2,,Active,Prof. Gupta
422,Placement Cell,Other,2025-08-13,Member,Low,3,1,,Active,Prof. Reddy
423,Entrepreneurship Cell,Academic,2025-08-12,Member,Low,2,2,,Inactive,Prof. Reddy
423,Cricket Team,Sports,2025-08-18,Member,Medium,5,5,,Inactive,Prof. Sharma
423,Environmental Club,Social,2025-08-05,Member,Low,1,1,,Active,Prof. Sharma
424,NCC (National Cadet Corps),Social,2025-08-17,Member,Medium,5,5,,Active,Prof. Mehta
424,Chess Club,Sports,2025-08-22,Active Member,Medium,5,4,,Active,Prof. Reddy
424,Placement Cell,Other,2025-08-28,Coordinator,Very High,15,17,,Active,Prof. Sharma
425,Drama Club,Cultural,2025-08-02,Active Member,High,6,6,,Active,Prof. Gupta
426,Music Club,Cultural,2025-08-22,Member,Medium,5,2,Certificate of Excellence,Active,Prof. Sharma
427,Film Making Club,Cultural,2025-08-26,President/Head,Very High,15,18,Winner - Intra College Competition,Active,Prof. Mehta
427,NCC (National Cadet Corps),Social,2025-08-26,President/Head,Very High,13,13,,Active,Prof. Mehta
428,Mathematics Club,Academic,2025-08-23,Member,Low,3,1,,Active,Prof. Gupta
428,Fine Arts Club,Cultural,2025-08-12,Member,Low,1,1,,Active,Prof. Sharma
430,NSS (National Service Scheme),Social,2025-08-06,Member,Low,3,1,,Active,Prof. Mehta
430,AI/ML Club,Technical,2025-08-14,Member,Medium,6,4,Winner - Inter College Competition,Active,Prof. Gupta
430,Football Team,Sports,2025-08-20,Active Member,High,10,7,,Active,Prof. Gupta
435,Fitness Club,Other,2025-08-30,Member,Medium,6,4,,Active,Prof. Gupta
436,AI/ML Club,Technical,2025-08-15,Coordinator,Very High,11,15,Winner - Inter College Competition,Active,Prof. Gupta
436,Placement Cell,Other,2025-08-24,Member,Low,3,1,,Active,Prof. Mehta
437,Kabaddi Team,Sports,2025-08-11,Member,High,10,9,,Inactive,Prof. Sharma
439,Alumni Relations,Other,2025-08-22,Active Member,High,9,5,,Active,Prof. Sharma
439,Music Club,Cultural,2025-08-09,Member,Medium,3,4,,Active,Prof. Reddy
441,Music Club,Cultural,2025-08-15,Member,Medium,3,5,,Active,Prof. Sharma
442,AI/ML Club,Technical,2025-08-29,Member,Low,2,2,,Active,Prof. Reddy
442,Alumni Relations,Other,2025-08-31,Core Team,Very High,13,11,,Active,Prof. Mehta
442,NSS (National Service Scheme),Social,2025-08-30,Member,Medium,3,4,,Active,Prof. Reddy
443,Yoga Club,Other,2025-08-05,Member,High,6,10,Best Performer Award,Active,Prof. Gupta
443,Hockey Team,Sports,2025-08-26,Core Team,Very High,13,14,,Active,Prof. Sharma
444,Alumni Relations,Other,2025-08-08,Member,Low,2,0,,Active,Prof. Reddy
445,Badminton Club,Sports,2025-08-07,Member,High,6,7,,Active,Prof. Mehta
445,Research Club,Academic,2025-08-16,Member,Medium,5,2,,Active,Prof. Mehta
446,Robotics Club,Technical,2025-08-22,Core Team,Very High,14,15,Participation Certificate,Active,Prof. Mehta
447,Football Team,Sports,2025-08-06,Member,Medium,6,2,,Active,Prof. Reddy
448,Basketball Team,Sports,2025-08-12,Core Team,Very High,15,15,,Active,Prof. Mehta
448,Alumni Relations,Other,2025-08-18,Core Team,High,8,8,,Inactive,Prof. Gupta
449,Literary Club,Cultural,2025-08-17,Member,Low,1,0,,Active,Prof. Sharma
449,Blood Donation Team,Social,2025-08-17,Core Team,High,7,7,,Active,Prof. Reddy
449,Paper Presentation Team,Academic,2025-08-20,Active Member,High,8,6,,Active,Prof. Gupta
450,College Magazine,Other,2025-08-09,Member,Low,3,2,,Active,Prof. Sharma
450,Chess Club,Sports,2025-08-17,Member,Medium,5,4,,Active,Prof. Sharma
451,Fitness Club,Other,2025-08-07,Member,High,6,10,,Active,Prof. Gupta
451,Photography Club,Cultural,2025-08-25,Member,Medium,3,4,,Active,Prof. Sharma
452,Red Cross,Social,2025-08-19,Active Member,Medium,4,5,,Active,Prof. Reddy
452,Basketball Team,Sports,2025-08-12,Member,Low,3,2,,Active,Prof. Reddy
452,Robotics Club,Technical,2025-08-08,Member,Low,1,2,,Active,Prof. Gupta
455,Event Management Team,Other,2025-08-27,Member,Medium,3,5,,Active,Prof. Sharma
455,Table Tennis Club,Sports,2025-08-08,Member,Low,3,0,,Active,Prof. Mehta
455,Cybersecurity Club,Technical,2025-08-14,Member,Medium,3,3,Best Performer Award,Active,Prof. Reddy
456,IoT Club,Technical,2025-08-02,Member,Low,2,2,,Active,Prof. Mehta
457,Kabaddi Team,Sports,2025-08-06,Core Team,High,6,8,,Active,Prof. Reddy
458,Film Making Club,Cultural,2025-08-05,Active Member,Medium,5,5,,Active,Prof. Reddy
459,Robotics Club,Technical,2025-08-09,Core Team,High,10,5,,Active,Prof. Sharma
459,Basketball Team,Sports,2025-08-05,Member,Medium,6,4,,Active,Prof. Mehta
459,Drama Club,Cultural,2025-08-06,Member,Medium,5,5,,Active,Prof. Gupta
461,Yoga Club,Other,2025-08-13,Core Team,High,7,9,Winner - Inter College Competition,Active,Prof. Reddy
461,Quiz Club,Academic,2025-08-05,Member,Medium,5,2,Winner - Intra College Competition,Active,Prof. Mehta
462,Football Team,Sports,2025-08-13,Member,Low,1,2,,Active,Prof. Reddy
463,Athletics Team,Sports,2025-08-11,Member,Medium,4,5,,Active,Prof. Gupta
464,Drama Club,Cultural,2025-08-06,Member,High,6,9,,Active,Prof. Gupta
464,Entrepreneurship Cell,Academic,2025-08-10,Coordinator,Very High,13,15,,Active,Prof. Mehta
464,Robotics Club,Technical,2025-08-28,Active Member,High,7,9,,Active,Prof. Gupta
464,Fitness Club,Other,2025-08-08,Member,Low,2,1,,Active,Prof. Mehta
465,NSS (National Service Scheme),Social,2025-08-30,Core Team,High,8,5,,Active,Prof. Sharma
467,Volleyball Team,Sports,2025-08-09,President/Head,Very High,14,12,,Active,Prof. Mehta
467,Research Club,Academic,2025-08-21,Core Team,Very High,12,18,Winner - Intra College Competition,Active,Prof. Gupta
467,Coding Club,Technical,2025-08-23,Member,Medium,3,3,Certificate of Excellence,Active,Prof. Mehta
467,Debating Society,Cultural,2025-08-10,Active Member,High,10,6,Participation Certificate,Active,Prof. Sharma
468,Event Management Team,Other,2025-08-19,Member,Medium,4,5,,Active,Prof. Gupta
469,Chess Club,Sports,2025-08-17,Coordinator,Very High,15,11,Certificate of Excellence,Active,Prof. Reddy
469,Coding Club,Technical,2025-08-23,Member,Low,2,1,,Active,Prof. Gupta
469,Film Making Club,Cultural,2025-08-13,Active Member,Medium,4,2,Participation Certificate,Active,Prof. Sharma
471,Coding Club,Technical,2025-08-27,Active Member,High,8,10,,Active,Prof. Sharma
471,Event Management Team,Other,2025-08-29,Active Member,Medium,3,3,,Active,Prof. Gupta
472,Dance Club,Cultural,2025-08-02,Active Member,High,7,10,,Active,Prof. Mehta
472,Data Science Club,Technical,2025-08-12,Member,Medium,5,3,Winner - Inter College Competition,Active,Prof. Mehta
472,NSS (National Service Scheme),Social,2025-08-22,Active Member,Medium,3,2,,Active,Prof. Mehta
472,Kabaddi Team,Sports,2025-08-25,Member,Medium,3,4,Certificate of Excellence,Active,Prof. Sharma
473,Fitness Club,Other,2025-08-16,Active Member,Medium,4,2,,Active,Prof. Mehta
473,AI/ML Club,Technical,2025-08-11,Active Member,Medium,5,2,Best Performer Award,Inactive,Prof. Reddy
473,Science Club,Academic,2025-08-23,Member,Medium,5,2,Certificate of Excellence,Active,Prof. Sharma
